"organisation_type","name","id","abbreviations","other_names"
"Other body","Intelligence Services Commissioner","OT512","ISC","Intelligence Services Commissioner"
"Other body","Interception of Communications Commissioner","OT513","Interception Commissioner   ","Interception of Communications Commissioner"
"Other body","Internal Audit Profession","OT1038","",""
"Other body","Investors in People UK","OT896","",""
"Other body","Joint Forces Command","OT498","JFC",""
"Other body","Joint Nature Conservation Committee","PB201","JNCC","Joint Nature Conservation Committee"
"Other body","Judicial Appointments Commission","PB299","JAC",""
"Other body","Judicial Appointments and Conduct Ombudsman","IM333","JACO","Judicial Appointments and Conduct Ombudsman"
"Other body","Judicial Office","OT1215","JO","Judicial Office"
"Other body","Kitts Green and Shard End Education Action Zone","OT632","",""
"Other body","Lake District National Park Authority","OT220","LDNP","Lake District National Park Authority"
"Other body","Lammy Review","OT1190","",""
"Other body","Land Registration Rule Committee","PB358","LRRC",""
"Other body","Law Commission","PB294","",""
"Other body","Leasehold Advisory Service","PB373","LEASE",""
"Other body","Legal Services Board","IM332","LSB",""
"Other body","Life Sentence Review Commissioners","OT877","",""
"Other body","Livestock and Meat Commission for Northern Ireland","OT849","",""
"Other body","Local Government Ombudsman","PB503","LGO",""
"Other body","Loughs Agency","OT862","",""
"Other body","Low Level Waste Repository Ltd","OT1240","","Low Level Waste Repository Ltd"
"Other body","Low Pay Commission","PB122","LPC",""
"Other body","Macur Review","OT1057","",""
"Other body","Magnox Ltd","OT1239","",""
"Other body","Marine Accident Investigation Branch","PC472","MAIB","Marine Accident Investigation Branch"
"Other body","Marine Management Organisation","PB57","MMO","Marine Management Organisation"
"Other body","Marshall Aid Commemoration Commission","OT315","MACC","Marshall Aid Commemoration Commission"
"Other body","Medical Profession","OT1054","",""
"Other body","Medical Research Council","PB132","MRC",""
"Other body","Migration Advisory Committee","PB275","MAC","Migration Advisory Committee"
"Other body","Military Aviation Authority","OT1071","MAA","Military Aviation Authority"
"Other body","Morecambe Bay Investigation","OT565","","Morecambe Bay Investigation"
"Other body","NHS Blood and Transplant","OT486","NHSBT",""
"Other body","NHS Business Services Authority","OT529","NHSBSA","NHS Business Services Authority"
"Other body","NHS Counter Fraud Agency","OT1243","NHSCFA",""
"Other body","NHS Digital","PB1202","","NHS Digital"
"Other body","NHS Direct National Health Service Trust","OT802","",""
"Other body","NHS England","PB481","",""
"Other body","NHS Improvement","PB1199","",""
"Other body","NHS Pay Review Body","PB531","NHSPRB","NHS Pay Review Body"
"Other body","NHS Resolution","OT488","NHSLA","NHS Litigation Authority"
"Other body","NHS Trust Development Authority","OT484","NHS TDA",""
"Other body","NHS Wales Informatics Service","OT1104","","NHS Wales Informatics Service"
"Other body","National Army Museum","PB307","NAM",""
"Other body","National Counter Terrorism Security Office","OT1089","NaCTSO",""
"Other body","National Crime Agency Remuneration Review Body","PB580","NCARRB",""
"Other body","National Cyber Security Centre","OT1211","NCSC","NCSC"
"Other body","National DNA Database Ethics Group","PB276","NDNAD","National DNA Database Ethics Group"
"Other body","National Data Guardian","OT1180","NDG","National Data Guardian"
"Other body","National Employer Advisory Board","PB399","NEAB","National Employer Advisory Board"
"Other body","National Endowment for Science, Technology and the Arts","OT658","",""
"Other body","National Forest Company","PB415","NFC",""
"Other body","National Gallery","PB174","",""
"Other body","National Heritage Memorial Fund","PB175","NHMF",""
"Other body","National Information Board","OT1090","NIB",""
"Other body","National Infrastructure Commission","OT1161","","National Infrastructure Commission"
"Other body","National Institute for Health and Care Excellence","PB474","NICE","National Institute for Health and Care Excellence"
"Other body","National Museum of the Royal Navy","PB290","RNM","Royal Naval Museum"
"Other body","National Museums Liverpool","PB178","NML",""
"Other body","National Museums and Galleries of Northern Ireland","OT868","",""
"Other body","National Museums of Scotland","OT987","",""
"Other body","National Portrait Gallery","PB179","NPG",""
"Other body","National Probation Service","OT723","NPS",""
"Other body","National Records of Scotland","OT1075","National Records of Scotland",""
"Other body","National School of Government","OT891","",""
"Other body","National security and intelligence","OT505","",""
"Other body","Natural England","PB202","Natural England",""
"Other body","Natural Environment Research Council","PB133","NERC",""
"Other body","Natural History Museum","PB180","NHM",""
"Other body","Natural Resources Wales","OT1103","","Natural Resources Wales"
"Other body","New Forest National Park Authority","OT222","NFNPA","New Forest National Park Authority"
"Other body","North East Education and Library Board","OT781","",""
"Other body","North York Moors National Park Authority","OT223","NYMNP","North York Moors National Park Authority"
"Other body","Northern Health and Social Services Board","OT863","",""
"Other body","Northern Ireland Audit Office","OT634","",""
"Other body","Northern Ireland Authority for Energy Regulation","OT761","",""
"Other body","Northern Ireland Commissioner for Children and Young People","OT838","",""
"Other body","Northern Ireland Council for the Curriculum, Examinations and Assessment","OT644","",""
"Other body","Northern Ireland Court Service","EA725","",""
"Other body","Northern Ireland Health and Social Services Estates Agency","EA791","",""
"Other body","Northern Ireland Housing Executive","PB1212","NIHE",""
"Other body","Northern Ireland Human Rights Commission","OT429","NIHRC",""
"Other body","Northern Ireland Judicial Appointments Commission","OT880","",""
"Other body","Northern Ireland Judicial Appointments Ombudsman","OT1003","",""
"Other body","Northern Ireland Law Commission","OT937","",""
"Other body","Northern Ireland Legal Services Commission","OT783","",""
"Other body","Northern Ireland Local Government Officers' Superannuation Committee","OT758","",""
"Other body","Northern Ireland Ombudsman","OT828","",""
"Other body","Northern Ireland Police Fund","OT935","",""
"Other body","Northern Ireland Policing Board","OT649","",""
"Other body","Northern Ireland Practice and Education Council","OT856","",""
"Other body","Northern Ireland Social Care Council","OT770","",""
"Other body","Northern Ireland Tourist Board","OT820","",""
"Other body","Northern Lighthouse Board","PB463","NLB",""
"Other body","Northumberland National Park Authority","OT543","","Northumberland National Park Authority"
"Other body","Nuclear Decommissioning Authority","PB197","NDA","Nuclear Decommissioning Authority"
"Other body","Nuclear Liabilities Financing Assurance Board","PB193","NLFAB","Nuclear Liabilities Financing Assurance Board"
"Other body","Nuclear Research Advisory Council","PB400","NRAC","Nuclear Research Advisory Council"
"Other body","Ofcom","OT385","Ofcom",""
"Other body","Office for Budget Responsibility","PB260","OBR","Office for Budget Responsibility"
"Other body","Office for Criminal Justice Reform","OT610","",""
"Other body","Office for Disability Issues","OT1066","ODI","Office for Disability Issues"
"Other body","Office for Fair Access","PB134","OFFA",""
"Other body","Office for Life Sciences","OT502","OLS",""
"Other body","Office for Low Emission Vehicles","OT514","OLEV",""
"Other body","Office for National Statistics","D303","ONS",""
"Other body","Office of Financial Sanctions Implementation","OT1187","OFSI","Office of Financial Sanctions Implementation HM Treasury"
"Other body","Office of Manpower Economics","PB266","OME",""
"Other body","Office of the Chief Electoral Officer for Northern Ireland","OT744","",""
"Other body","Office of the Children's Commissioner","PB413","","The Office of the Children's Commissioner"
"Other body","Office of the Commissioner for the Rights of Trade Union Members","OT940","",""
"Other body","Office of the First Minister and Deputy First Minister","OT749","",""
"Other body","Office of the Immigration Services Commissioner","PB263","OISC",""
"Other body","Office of the Lay Observer","OT976","",""
"Other body","Office of the Legal Services Complaints Commissioner","OT600","",""
"Other body","Office of the Parliamentary Counsel","OT515","OPC",""
"Other body","Office of the Police Ombudsman for Northern Ireland","OT636","",""
"Other body","Office of the Registrar of Consultant Lobbyists","OT1091","ORCL",""
"Other body","Office of the Regulator of Community Interest Companies","OT553","CIC Regulator",""
"Other body","Office of the Schools Adjudicator","OT1027","OSA","Office of the Schools Adjudicator"
"Other body","Official Solicitor and Public Trustee","OT328","OSPT","Official Solicitor and Public Trustee"
"Other body","Oil and Gas Authority","EA1119","OGA","Oil & Gas Authority"
"Other body","Open Public Services","OT566","OPS",""
"Other body","Operational Delivery Profession","OT1029","",""
"Other body","Parades Commission for Northern Ireland","OT430","PCNI",""
"Other body","Parliamentary Contributory Pension Fund","OT661","",""
"Other body","Parole Board","PB301","Parole Board",""
"Other body","Parole Commissioners for Northern Ireland","OT913","",""
"Other body","Passenger Focus","PB464","PF",""
"Other body","Payment Systems Regulator","OT1151","PSR",""
"Other body","Peak District National Park Authority","OT545","PDNP","Peak District National Park Authority"
"Other body","Phoenix Sports","OT910","",""
"Other body","Planning Service","OT714","",""
"Other body","Police Advisory Board for England and Wales","PB273","PAB",""
"Other body","Police Remuneration Review Body","PB1083","PRRB",""
"Other body","Police Service of Northern Ireland","OT657","",""
"Other body","Policy Profession","OT1030","",""
"Other body","Porton Biopharma Limited","OT1184","PBL",""
"Other body","Preventing Sexual Violence Initiative","OT1210","PSVI",""
"Other body","Prison Service Pay Review Body","PB446","PSPRB",""
"Other body","Prisons and Probation Ombudsman","IM327","PPO",""
"Other body","Privy Council Office","OT342","PCO",""
"Other body","Probation Board for Northern Ireland","OT659","PBNI",""
"Other body","Procurement profession","OT1032","",""
"Other body","Professional Standards Authority for Health and Social Care","OT971","",""
"Other body","Project Delivery Profession","OT1031","",""
"Other body","Public Accounts Commission","OT627","",""
"Other body","Public Health Wales","OT1077","PHW","Public Health Wales"
"Other body","Public Prosecution Service for Northern Ireland","OT962","",""
"Other body","Pubs Code Adjudicator","OT1192","PCA",""
"Other body","Queen's Harbour Master","OT581","QHM",""
"Other body","Radioactive Waste Management","OT1150","RWM","Radioactive Waste Management"
"Other body","Rail Accident Investigation Branch","OT249","RAIB","Rail Accident Investigation Branch"
"Other body","Rail Safety and Standards Board","OT1207","RSSB",""
"Other body","Regeneration Investment Organisation","OT1081","",""
"Other body","Regulator of Social Housing","PB1218","RSH","Regulator of Social Housing"
"Other body","Regulatory Delivery","OT1189","",""
"Other body","Regulatory Policy Committee","PB354","RPC",""
"Other body","Remploy Ltd","PB350","Remploy",""
"Other body","Remploy Pension Scheme Trustees Ltd","OT1242","",""
"Other body","Reserve Forces' and Cadets' Associations","OT1065","RFCA",""
"Other body","Review Body for Nursing and Other Health Professions","OT604","",""
"Other body","Review Body on Doctors' and Dentists' Remuneration","PB530","DDRB","Review Body on Doctors' and Dentists' Remuneration"
"Other body","Roads Service","OT831","",""
"Other body","Royal Air Force Museum","PB308","RAFM",""
"Other body","Royal Armouries Museum","PB182","RA","Royal Armouries"
"Other body","Royal Marines Museum","PB310","RMM","Royal Marines Museum"
"Other body","Royal Mint","EA114","RM",""
"Other body","Royal Mint Advisory Committee","PB434","RMAC",""
"Other body","Royal Museums Greenwich","PB291","RMG",""
"Other body","Royal Navy Submarine Museum","OT409","RNSM",""
"Other body","Rural Development Programme for England Network","OT1060","RDPE Network","RDPE Network"
"Other body","S4C","PC387","S4C",""
"Other body","School Teachers' Review Body","PB414","STRB",""
"Other body","Schools Commissioners Group","OT1107","",""
"Other body","Science Advisory Council","PB211","SAC","Science Advisory Council"
"Other body","Science Museum Group","PB177","",""
"Other body","Science and Technology Facilities Council","PB135","STFC","Science and Technology Facilities Council"
"Other body","Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons","PB402","SACMILL","Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons"
"Other body","Scottish Hospital Trust","OT989","",""
"Other body","Scottish Law Commission","OT612","",""
"Other body","Sea Fish Industry Authority","OT205","Seafish",""
"Other body","Secret Intelligence Service","OT305","SIS",""
"Other body","Security Industry Authority","PB264","SIA",""
"Other body","Security Vetting Appeals Panel","PB367","SVAP",""
"Other body","Sellafield Ltd","OT1220","",""
"Other body","Senior Salaries Review Body","PB368","SSRB","Review Body on Senior Salaries"
"Other body","Sentence Review Commissioners","OT688","",""
"Other body","Sentencing Council for England and Wales","PB295","SC","Sentencing Council for England and Wales"
"Other body","Service Complaints Ombudsman","OT1168","",""
"Other body","Service Prosecuting Authority","OT406","SPA","Service Prosecuting Authority"
"Other body","Single Source Regulations Office","PB1093","SSRO",""
"Other body","Sir John Soane's Museum","PB183","Soane's","Sir John Soane’s Museum"
"Other body","Small Business Commissioner","PB1237","SBC",""
"Other body","Social Mobility Commission","PB1193","","Social Mobility Commission"
"Other body","Social Mobility and Child Poverty Commission","PB510","SMCP Commission","Social Mobility and Child Poverty Commission"
"Other body","Social Science Research Committee","PB578","SSRC","Social Science Research Committee"
"Other body","Social Security Advisory Committee","PB232","SSAC",""
"Other body","South Downs National Park Authority","OT546","SDNP","South Downs National Park Authority"
"Other body","South Eastern Education and Library Board","OT857","",""
"Other body","Southern Health and Social Services Board","OT864","",""
"Other body","Special EU Programmes Body","OT795","",""
"Other body","Sport England","PB190","SE",""
"Other body","Sports Council for Northern Ireland","OT694","",""
"Other body","Sports Council for Wales","OT734","",""
"Other body","Sports Grounds Safety Authority","PB184","SGSA",""
"Other body","Stabilisation Unit","OT1086","SU",""
"Other body","Staff Commission for Education and Library Boards","OT751","",""
"Other body","Student Loans Company","PB27","SLC",""
"Other body","Surveillance Camera Commissioner","OT552","SCC","Surveillance Camera Commissioner"
"Other body","Tate","PB571","Tate","The Tate"
"Other body","Technical Advisory Board","PB274","TAB",""
"Other body","Technology Strategy Board","PB136","",""
"Other body","The Adjudicator’s Office","OT433","",""
"Other body","The Advisory Council on National Records and Archives","PB438","ACNRA",""
"Other body","The Children and Family Court Advisory and Support Service","PB246","Cafcass","Cafcass"
"Other body","The Crown Estate","OT100","",""
"Other body","The Executive Office (Northern Ireland)","OT1179","",""
"Other body","The Legal Ombudsman","IM329","",""
"Other body","The Parliamentary and Health Service Ombudsman","OT519","The Ombudsman","The Parliamentary and Health Service Ombudsman"
"Other body","The Pensions Advisory Service","PB233","TPAS",""
"Other body","The Pensions Regulator","PB234","TPR",""
"Other body","The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest","PB382","RCEWA","The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest"
"Other body","The Security Service","OT304","MI5",""
"Other body","The Theatres Trust","PB380","TTT",""
"Other body","Transport Focus","PB1118","",""
"Other body","Treasure Valuation Committee","PB383","TVC",""
"Other body","Tribunal Procedure Committee","PB448","TPC",""
"Other body","Trinity House","PB462","TLS",""
"Other body","Trust ports","PC468","TP",""
"Other body","UK Anti-Doping","PB377","UKAD",""
"Other body","UK Atomic Energy Authority","PB137","UKAEA","UK Atomic Energy Authority"
"Other body","UK Co-ordinating Body","OT1022","UKCB",""
"Other body","UK Commission for Employment and Skills","PB138","UKCES","UK Commission for Employment and Skills"
"Other body","UK Financial Investments Limited","PC259","UKFI","UK Financial Investments Limited"
"Other body","UK Government Decontamination Service","EA844","",""
"Other body","UK Government Investments","OT1186","UKGI","UK Government Investments"
"Other body","UK Green Investment Bank","OT360","GIB",""
"Other body","UK Holocaust Memorial Foundation","PB1171","UKHMF","UK Holocaust Memorial Foundation"
"Other body","UK Research and Innovation","PB1221","UKRI",""
"Other body","UK Sport","PB185","UKSP",""
"Other body","UK Visas and Immigration","OT554","UKVI",""
"Other body","UKTI Education","OT1067","UKTI Education",""
"Other body","UKTI Life Sciences Organisation","OT1068","UKTI LSO","Life Sciences Organisation"
"Other body","United Kingdom Blood Transfusion Services","OT1004","",""
"Other body","United Kingdom Reserve Forces Association","OT1112","UKRFA",""
"Other body","Valuation Tribunal Service","PB375","VTS",""
"Other body","Veterans Advisory and Pensions Committees","PB403","VAPC","Veterans Advisory and Pensions Committees"
"Other body","Veterans UK","OT1087","Veterans UK",""
"Other body","Veterinary Products Committee","PB212","VPC","Veterinary Products Committee"
"Other body","Victims' Commissioner","PB326","",""
"Other body","Victoria and Albert Museum","PB378","VAM",""
"Other body","VisitBritain","PB186","VB",""
"Other body","VisitEngland","PB376","VE",""
"Other body","Wales Audit Office","OT908","",""
"Other body","Wallace Collection","PB187","",""
"Other body","Waterways Ireland","OT869","",""
"Other body","Wave Hub","OT572","",""
"Other body","Welsh Language Commissioner","OT1101","","Welsh Language Commissioner"
"Other body","Western Education and Library Board","OT858","",""
"Other body","Western Health and Social Services Board","OT866","",""
"Other body","Westminster Foundation for Democracy","OT316","","Westminster Foundation for Democracy"
"Other body","Yorkshire Dales National Park Authority","OT547","YDNP","Yorkshire Dales National Park Authority"
"Other body","Youth Justice Board for England and Wales","PB302","YJB","Youth Justice Board for England and Wales"
"Courts and Tribunals","Administrative Court","CO1188","",""
"Courts and Tribunals","Admiralty Court","CO1147","",""
"Courts and Tribunals","Central Arbitration Committee","PB148","CAC",""
"Courts and Tribunals","Chancery Division of the High Court","CO1205","",""
"Courts and Tribunals","Commercial Circuit Court","CO1158","",""
"Courts and Tribunals","Commercial Court","CO1159","",""
"Courts and Tribunals","Companies List","CO1160","",""
"Courts and Tribunals","Competition Appeal Tribunal","PB140","CAT",""
"Courts and Tribunals","Copyright Tribunal","PB355","",""
"Courts and Tribunals","Council on Tribunals","PB973","",""
"Courts and Tribunals","Court of Appeal Civil Division","CO1163","","Court of Appeal Civil Division"
"Courts and Tribunals","Court of Appeal Criminal Division","CO1181","",""
"Courts and Tribunals","Court of Protection","OT1100","COP",""
"Courts and Tribunals","Employment Appeal Tribunal","CO1134","",""
"Courts and Tribunals","Employment Tribunal","CO1133","",""
"Courts and Tribunals","Family Division of the High Court","CO1155","",""
"Courts and Tribunals","First-tier Tribunal (Asylum Support)","CO1127","",""
"Courts and Tribunals","First-tier Tribunal (Care Standards)","CO1131","",""
"Courts and Tribunals","First-tier Tribunal (Criminal Injuries Compensation)","CO1130","",""
"Courts and Tribunals","First-tier Tribunal (General Regulatory Chamber)","CO1125","",""
"Courts and Tribunals","First-tier Tribunal (Immigration and Asylum)","PB1143","",""
"Courts and Tribunals","First-tier Tribunal (Mental Health)","CO1124","",""
"Courts and Tribunals","First-tier Tribunal (Property Chamber)","PB1139","",""
"Courts and Tribunals","First-tier Tribunal (Social Security and Child Support)","CO1136","",""
"Courts and Tribunals","First-tier Tribunal (Special Educational Needs and Disability)","CO1145","",""
"Courts and Tribunals","First-tier Tribunal (Tax)","CO1128","",""
"Courts and Tribunals","First-tier Tribunal (War Pensions and Armed Forces Compensation)","CO1126","",""
"Courts and Tribunals","Foreign Compensation Commission","PB257","FCC",""
"Courts and Tribunals","Gangmasters Licensing Appeals","CO1129","",""
"Courts and Tribunals","Insolvency List","CO1120","",""
"Courts and Tribunals","Insolvency Practitioners Tribunal","PB521","IPT","Insolvency Practitioners Tribunal"
"Courts and Tribunals","Intellectual Property Enterprise Court","CO1162","",""
"Courts and Tribunals","Investigatory Powers Tribunal","PB270","IPT",""
"Courts and Tribunals","Northampton County Court Business Centre","CO1165","",""
"Courts and Tribunals","Office of Surveillance Commissioners","PB457","OSC",""
"Courts and Tribunals","Patents Court","CO1170","",""
"Courts and Tribunals","Pension Protection Fund Ombudsman","PB235","PPFO","The Pension Protection Fund Ombudsman"
"Courts and Tribunals","Pensions Ombudsman","PB236","PO","The Pensions Ombudsman"
"Courts and Tribunals","Planning Court","CO1156","",""
"Courts and Tribunals","Plant Varieties and Seeds Tribunal","PB423","PVST",""
"Courts and Tribunals","Police Arbitration Tribunal","PB277","PAT","Police Arbitration Tribunal"
"Courts and Tribunals","Police Discipline Appeals Tribunal","PB278","Police Discipline",""
"Courts and Tribunals","Queen's Bench Division of the High Court","CO1183","",""
"Courts and Tribunals","Reserve Forces Appeal Tribunal","PB1138","",""
"Courts and Tribunals","Senior Courts Costs Office","CO1135","",""
"Courts and Tribunals","Technology and Construction Court","CO1157","",""
"Courts and Tribunals","The Business List","CO1229","",""
"Courts and Tribunals","The Business and Property Courts","CO1224","","The Business and Property Courts"
"Courts and Tribunals","The Competition List","CO1228","",""
"Courts and Tribunals","The Financial List","CO1227","",""
"Courts and Tribunals","The Intellectual Property List","CO1226","","The Intellectual Property List"
"Courts and Tribunals","The Property, Trusts and Probate List","CO1225","","The Property, Trusts and Probate List"
"Courts and Tribunals","The Revenue List","CO1230","",""
"Courts and Tribunals","Traffic Commissioners for Great Britain","PB465","TC","Traffic Commissioners for Great Britain"
"Courts and Tribunals","Upper Tribunal (Administrative Appeals Chamber)","PB1142","",""
"Courts and Tribunals","Upper Tribunal (Immigration and Asylum Chamber)","PB1144","",""
"Courts and Tribunals","Upper Tribunal (Lands Chamber)","PB1141","",""
"Courts and Tribunals","Upper Tribunal (Tax and Chancery Chamber)","PB1140","",""
"Courts and Tribunals","Valuation Tribunal for England","PB1204","VTE","Valuation Tribunal for England"
"Civil Service","Civil Service","CS1028","the Civil Service",""
"Devolved administration","Northern Ireland Executive","DA1021","",""
"Devolved administration","Scottish Government","DA1020","The Scottish Government","Scottish Government|The Scottish Government"
"Devolved administration","Welsh Government","DA1019","","Welsh Government"
"Public corporation","Architects Registration Board","PC163","ARB",""
"Public corporation","BBC","PC388","BBC",""
"Public corporation","BBC World Service","PC427","BBCWS",""
"Public corporation","BRB (Residuary) Ltd","PC467","BRBR",""
"Public corporation","Channel 4","PC386","C4",""
"Public corporation","Civil Aviation Authority","PC469","CAA",""
"Public corporation","Historic Royal Palaces","PC389","HRP",""
"Public corporation","London and Continental Railways Ltd","PC493","LCR","London and Continental Railways Limited|London and Continental Railways Limited"
"Public corporation","National Employment Savings Trust (NEST) Corporation","OT237","NEST Corporation",""
"Public corporation","Office for Nuclear Regulation","PC1059","ONR","Office for Nuclear Regulation"
"Public corporation","Ordnance Survey","D38","OS",""
"Public corporation","Pension Protection Fund","PB348","PPF","Pension Protection Fund"
"Public corporation","Royal Mail","PC970","",""
"Public corporation","The Oil and Pipelines Agency","PB401","OPA",""
"Independent body","Independent Anti-slavery Commissioner","IM1123","IASC",""
"Independent body","Office of Tax Simplification","OT261","OTS","Office of Tax Simplification"
"Independent body","The Electoral Commission","IM1203","",""
