,,Standard Ethnicity,Parent,Order
ONS 2011,Bangladeshi,Bangladeshi,Asian,1100
ONS 2011,Chinese,Chinese,Asian,1200
ONS 2011,Indian,Indian,Asian,1300
ONS 2011,Pakistani,Pakistani,Asian,1400
ONS 2011,Pakistani and Bangladeshi,,,
ONS 2011,Asian other,Asian other,Asian,1900
ONS 2011,Asian other inc Chinese,,,
ONS 2011,Black,Black,Black,2000
ONS 2011,Black African,Black African,Black,2100
ONS 2011,Black Caribbean,Black Caribbean,Black,2200
ONS 2011,Black other,Black other,Black,2900
ONS 2011,Mixed,Mixed,Mixed,3000
ONS 2011,Mixed White/Asian,Mixed White/Asian,Mixed,3100
ONS 2011,Mixed White/Black African,Mixed White/Black African,Mixed,3200
ONS 2011,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300
ONS 2011,Mixed other,Mixed other,Mixed,3900
ONS 2011,White,White,White,4000
ONS 2011,White British,White British,White,4100
ONS 2011,White Irish,White Irish,White,4200
ONS 2011,White Gypsy/Traveller,White Gypsy/Traveller,White,4300
ONS 2011,Gypsy/Roma,,,
ONS 2011,Irish traveller,,,
ONS 2011,White other,White other,White,4900
ONS 2011,White other than British,,,
ONS 2011,Other,Other,Other,9000
ONS 2011,Other inc Asian,,,
ONS 2011,Other inc Chinese,,,
ONS 2011,Other inc Mixed,,,
ONS 2011,Other inc Mixed and Chinese,,,
ONS 2011,Other (inc Gypsy/Traveller/Irish Traveller),,,
ONS 2011,Other than White,,,
ONS 2011,Other than White British,,,
ONS 2011,Any other,Any other,Any other,9900
"4 - Asian, Black, White, Other inc Mixed",All,All,All,0
"4 - Asian, Black, White, Other inc Mixed",Unmatched,Unmatched,Unmatched,9991
"4 - Asian, Black, White, Other inc Mixed",Not applicable,Not applicable,Not applicable,9999
"4 - Asian, Black, White, Other inc Mixed",Unclassified,Unclassified,Unclassified,9990
"4 - Asian, Black, White, Other inc Mixed",Unknown,Unknown,Unknown,9980
"4 - Asian, Black, White, Other inc Mixed",Arab,,,
"4 - Asian, Black, White, Other inc Mixed",Asian,Asian,Asian,1000
"4 - Asian, Black, White, Other inc Mixed",Asian excluding Chinese,,,
"4 - Asian, Black, White, Other inc Mixed",Bangladeshi,,,
"4 - Asian, Black, White, Other inc Mixed",Chinese,,,
"4 - Asian, Black, White, Other inc Mixed",Indian,,,
"4 - Asian, Black, White, Other inc Mixed",Pakistani,,,
"4 - Asian, Black, White, Other inc Mixed",Pakistani and Bangladeshi,,,
"4 - Asian, Black, White, Other inc Mixed",Asian other,,,
"4 - Asian, Black, White, Other inc Mixed",Asian other inc Chinese,,,
"4 - Asian, Black, White, Other inc Mixed",Black,Black,Black,2000
"4 - Asian, Black, White, Other inc Mixed",Black African,,,
"4 - Asian, Black, White, Other inc Mixed",Black Caribbean,,,
"4 - Asian, Black, White, Other inc Mixed",Black other,,,
"4 - Asian, Black, White, Other inc Mixed",Mixed,,,
"4 - Asian, Black, White, Other inc Mixed",Mixed White/Asian,,,
"4 - Asian, Black, White, Other inc Mixed",Mixed White/Black African,,,
"4 - Asian, Black, White, Other inc Mixed",Mixed White/Black Caribbean,,,
"4 - Asian, Black, White, Other inc Mixed",Mixed other,,,
"4 - Asian, Black, White, Other inc Mixed",White,White,White,4000
"4 - Asian, Black, White, Other inc Mixed",White British,,,
"4 - Asian, Black, White, Other inc Mixed",White Irish,,,
"4 - Asian, Black, White, Other inc Mixed",White Gypsy/Traveller,,,
"4 - Asian, Black, White, Other inc Mixed",Gypsy/Roma,,,
"4 - Asian, Black, White, Other inc Mixed",Irish traveller,,,
"4 - Asian, Black, White, Other inc Mixed",White other,,,
"4 - Asian, Black, White, Other inc Mixed",White other than British,,,
"4 - Asian, Black, White, Other inc Mixed",Other,Other inc Mixed,Other inc Mixed,9030
"4 - Asian, Black, White, Other inc Mixed",Other inc Asian,,,
"4 - Asian, Black, White, Other inc Mixed",Other inc Chinese,,,
"4 - Asian, Black, White, Other inc Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030
"4 - Asian, Black, White, Other inc Mixed",Other inc Mixed and Chinese,,,
"4 - Asian, Black, White, Other inc Mixed",Other (inc Gypsy/Traveller/Irish Traveller),,,
"4 - Asian, Black, White, Other inc Mixed",Other than White,,,
"4 - Asian, Black, White, Other inc Mixed",Other than White British,,,
"4 - Asian, Black, White, Other inc Mixed",Any other,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",All,All,All,0
"5 - Asian, Black, White British, White other, Other inc Mixed",Unmatched,Unmatched,Unmatched,9991
"5 - Asian, Black, White British, White other, Other inc Mixed",Not applicable,Not applicable,Not applicable,9999
"5 - Asian, Black, White British, White other, Other inc Mixed",Unclassified,Unclassified,Unclassified,9990
"5 - Asian, Black, White British, White other, Other inc Mixed",Unknown,Unknown,Unknown,9980
"5 - Asian, Black, White British, White other, Other inc Mixed",Arab,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Asian,Asian,Asian,1000
"5 - Asian, Black, White British, White other, Other inc Mixed",Asian excluding Chinese,,,
