Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Not applicable,Not applicable,Not applicable,9999,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",All,All,All,0,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Bangladeshi,Bangladeshi,Bangladeshi,1100,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Chinese,Chinese,Chinese,1200,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Indian,Indian,Indian,1300,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Pakistani,Pakistani,Pakistani,1400,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Asian other,Asian other,Asian other,1900,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Black,Black,Black,2000,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Mixed,Mixed,Mixed,3000,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",White,White,White,4000,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Other,Other,Other,9000,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Arab,Arab,Arab,1001,TRUE
