Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Unknown,Unknown,Unknown,9980,
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Unclassified,Unclassified,Unclassified,9990,
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Unmatched,Unmatched,Unmatched,9991,
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Not applicable,Not applicable,Not applicable,9999,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Asian,Asian,Asian,1000,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Chinese,Chinese,Chinese,2900,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Black,Black,Black,2000,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Mixed,Mixed,Mixed,3000,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",White British,White British,White,4100,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",White other,White other,White,4910,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Other,Other,Other,9000,TRUE
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",White,White,White,4000,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",All,All,All,0,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Unknown,Unknown,Unknown,9980,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Unclassified,Unclassified,Unclassified,9990,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Unmatched,Unmatched,Unmatched,9991,
7A+,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other - Aggregates","Asian, Black, Chinese, Mixed, White British, White other, Other with broad categories",Not applicable,Not applicable,Not applicable,9999,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Indian,Indian,Indian,1300,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Pakistani and Bangladeshi,Pakistani and Bangladeshi,Pakistani and Bangladeshi,1400,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Asian other,Asian other inc Chinese,Asian other inc Chinese,1900,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Black,Black,Black,2000,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Mixed,Mixed,Mixed,3000,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",White British,White British,White British,4100,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Other,Other,Other,9000,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Any other,Other,Other,9000,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",White other,White other,White other,4200,TRUE
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",All,All,All,0,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Asian other inc Chinese,Asian other inc Chinese,Asian other inc Chinese,1900,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unknown,Unknown,Unknown,9980,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unclassified,Unclassified,Unclassified,9990,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unmatched,Unmatched,Unmatched,9991,
8A,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Not applicable,Not applicable,Not applicable,9999,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Indian,Indian,Asian,1300,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Pakistani and Bangladeshi,Pakistani and Bangladeshi,Asian,1400,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Asian other,Asian other inc Chinese,Asian,1900,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Black,Black,Black,2000,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Mixed,Mixed,Mixed,3000,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",White British,White British,White,4100,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Other,Other,Other,9000,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Any other,Other,Other,9000,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",White other,White other,White,4200,TRUE
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",All,All,All,0,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Asian other inc Chinese,Asian other inc Chinese,Asian,1900,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Asian,Asian,Asian,1000,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",White,White,White,4000,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Unknown,Unknown,Unknown,9980,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Unclassified,Unclassified,Unclassified,9990,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Unmatched,Unmatched,Unmatched,9991,
8A+,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other - Aggregates","Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other with broad categories",Not applicable,Not applicable,Not applicable,9999,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",All,All,All,0,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Bangladeshi,Bangladeshi,Bangladeshi,1100,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Chinese,Chinese,Chinese,1200,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Indian,Indian,Indian,1300,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Pakistani,Pakistani,Pakistani,1400,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Asian other,Asian other,Asian other,1900,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Black,Black,Black,2000,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Mixed,Mixed,Mixed,3000,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Other,Other,Other,9000,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",White,White,White,4000,TRUE
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Unknown,Unknown,Unknown,9980,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Unclassified,Unclassified,Unclassified,9990,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Unmatched,Unmatched,Unmatched,9991,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Not applicable,Not applicable,Not applicable,9999,
9A,Annual population survey - 9,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White, Other",Asian,Asian,Asian,1000,
